src,dst,weight
Chad Neal,Duane Lyons,2.0
Chad Neal,Ian Gonzalez,2.0
Chad Neal,Jennifer Daniels,2.0
Chad Neal,Jill Castro,2.0
Chad Neal,Lindsey Fisher,2.0
Chad Neal,Mark Thomas,2.0
Chad Neal,Tammy Donovan,2.0
Charles Mcguire,Christopher Mcdonald,1.0
Charles Mcguire,Gary Lloyd,1.0
Charles Mcguire,Kayla Palmer,2.0
Charles Mcguire,Kevin Mendoza,1.0
Charles Mcguire,Michael Stevenson,2.0
Charles Mcguire,Paul Davis,2.0
Charles Mcguire,Roberta Green,6.0
Charles Mcguire,Samantha Fitzgerald,1.0
Charles Mcguire,Samantha Foley,1.0
Charles Mcguire,Samuel Anderson,2.0
Charles Mcguire,Savannah Barker,1.0
Charles Mcguire,Scott Chen,2.0
Chelsea Hendricks,Eric Martin,1.0
Chelsea Hendricks,Mark Barnes,2.0
Chelsea Hendricks,Ryan Turner,1.0
Chelsea Hendricks,Savannah Barker,1.0
Chelsea Rasmussen,Savannah Barker,1.0
Chelsey Graham DVM,Derek Goodwin,1.0
Chelsey Graham DVM,Dwayne Graham,1.0
Chelsey Graham DVM,James Gillespie,1.0
Chelsey Graham DVM,Kayla Palmer,2.0
Chelsey Graham DVM,Lindsey Fisher,1.0
Chelsey Graham DVM,Matthew Wright,3.0
Chelsey Graham DVM,Samantha Fitzgerald,7.0
Chelsey Graham DVM,Samuel Anderson,1.0
Chelsey Graham DVM,Sarah Morse,1.0
Chelsey Graham DVM,Stephanie Roberts,8.0
Christine Michael,David Anderson,1.0
Christine Michael,Dwayne Graham,1.0
Christine Michael,Jill Castro,2.0
Christine Michael,Robert Hines,1.0
Christine Michael,Robert Love,1.0
Christopher Mcdonald,Ian Gonzalez,1.0
Christopher Mcdonald,Jennifer Daniels,2.0
Christopher Mcdonald,Jill Castro,5.0
Christopher Mcdonald,Lindsey Fisher,2.0
Christopher Mcdonald,Michael Stevenson,1.0
Christopher Mcdonald,Paul Davis,1.0
Cristina Schaefer,Daniel Trujillo,1.0
Cristina Schaefer,Erica Benton,1.0
Cristina Schaefer,Maria Ochoa,4.0
Cristina Schaefer,Stacey Rodriguez,2.0
Cristina Schaefer,Stephanie Roberts,1.0
Daniel Miller,Daniel Wright,8.0
Daniel Miller,Derek Goodwin,2.0
Daniel Miller,Duane Lyons,1.0
Daniel Miller,Erica Franklin,1.0
Daniel Miller,Joseph Armstrong,1.0
Daniel Miller,Kristie Woods,1.0
Daniel Miller,Michael Thompson,4.0
Daniel Miller,Michelle Turner,2.0
Daniel Miller,Mrs. Amanda Dennis,4.0
Daniel Miller,Rebecca Harris,1.0
Daniel Miller,Richard Diaz,1.0
Daniel Miller,Ryan Turner,2.0
Daniel Miller,Samuel Anderson,8.0
Daniel Miller,Sarah Morse,1.0
Daniel Miller,Scott Chen,2.0
Daniel Miller,Tammy Donovan,1.0
Daniel Miller,Veronica Stevens,8.0
Daniel Trujillo,Duane Lyons,3.0
Daniel Trujillo,Dwayne Graham,1.0
Daniel Trujillo,Joseph Armstrong,2.0
Daniel Trujillo,Matthew Wright,1.0
Daniel Trujillo,Robert Hines,1.0
Daniel Trujillo,Samantha Foley,1.0
Daniel Trujillo,Stacey Rodriguez,1.0
Daniel Trujillo,Todd Lyons,4.0
Daniel Wright,Jennifer Baker,1.0
Daniel Wright,Jerry Walters,1.0
Daniel Wright,Michael Thompson,4.0
Daniel Wright,Mrs. Amanda Dennis,4.0
Daniel Wright,Rachael Abbott,1.0
Daniel Wright,Samuel Anderson,8.0
Daniel Wright,Veronica Stevens,7.0
Daniel Wright,Wesley Atkins,4.0
David Anderson,Jennifer Daniels,2.0
David Anderson,Jill Castro,2.0
David Anderson,Kathy Rice,1.0
David Anderson,Kayla Krueger,1.0
David Anderson,Kevin Mendoza,1.0
David Anderson,Matthew Wright,8.0
David Anderson,Michael Thompson,2.0
David Anderson,Mrs. Amanda Dennis,1.0
David Anderson,Rick Jordan,2.0
David Anderson,Samantha Foley,1.0
David Anderson,Savannah Barker,1.0
David Anderson,Zachary Carter,4.0
Denise Gilbert,George Rivera,1.0
Denise Gilbert,Jennifer Daniels,1.0
Denise Gilbert,Rebecca Harris,2.0
Denise Gilbert,Richard Diaz,1.0
Denise Gilbert,Tracy Miller,1.0
Derek Goodwin,Dwayne Graham,2.0
Derek Goodwin,Eric Wiley,1.0
Derek Goodwin,James Gillespie,1.0
Derek Goodwin,Kayla Krueger,3.0
Derek Goodwin,Kayla Palmer,6.0
Derek Goodwin,Matthew Wright,2.0
Derek Goodwin,Megan Buchanan,1.0
Derek Goodwin,Rebecca Harris,1.0
Derek Goodwin,Richard Diaz,1.0
Derek Goodwin,Robert Hines,1.0
Derek Goodwin,Samuel Anderson,1.0
Derek Goodwin,Sarah Morse,1.0
Derek Goodwin,Scott Chen,2.0
Derek Goodwin,Timothy Brennan,1.0
Diane Johnson,Elizabeth Wood,1.0
Diane Johnson,Erica Smith,1.0
Diane Johnson,Jerry Walters,1.0
Diane Johnson,Latoya Smith,2.0
Diane Johnson,Megan Shelton,1.0
Diane Johnson,Olivia Nelson,4.0
Diane Johnson,Rita Miller,4.0
Diane Johnson,Samantha Foley,3.0
Diane Johnson,Todd Lyons,1.0
Duane Lyons,Erica Franklin,1.0
Duane Lyons,Ian Gonzalez,1.0
Duane Lyons,Matthew Wright,2.0
Duane Lyons,Megan Shelton,4.0
Duane Lyons,Michelle Turner,1.0
Duane Lyons,Rebecca Harris,1.0
Duane Lyons,Rita Miller,1.0
Duane Lyons,Ryan Turner,1.0
Duane Lyons,Samantha Foley,3.0
Dwayne Graham,Eric Wiley,1.0
Dwayne Graham,Jennifer Baker,1.0
Dwayne Graham,Jill Castro,2.0
Dwayne Graham,Joseph Armstrong,1.0
Dwayne Graham,Juan Yang,1.0
Dwayne Graham,Kathy Rice,1.0
Dwayne Graham,Kayla Krueger,1.0
Dwayne Graham,Lisa Taylor,4.0
Dwayne Graham,Mark Thomas,5.0
Dwayne Graham,Mary Lynch,4.0
Dwayne Graham,Megan Buchanan,2.0
Dwayne Graham,Megan Shelton,4.0
Dwayne Graham,Michelle Thompson,8.0
Dwayne Graham,Michelle Turner,1.0
Dwayne Graham,Monica Simpson,4.0
Dwayne Graham,Paul Davis,1.0
Dwayne Graham,Robert Hines,2.0
Dwayne Graham,Robert Love,2.0
Dwayne Graham,Samantha Fitzgerald,4.0
Dwayne Graham,Samuel Anderson,1.0
Dwayne Graham,Sarah Morse,1.0
Dwayne Graham,Stacey Rodriguez,1.0
Dwayne Graham,Tammy Donovan,1.0
Elizabeth Wood,Erica Smith,2.0
Elizabeth Wood,Eugene Lester,2.0
Elizabeth Wood,Jennifer Baker,1.0
Elizabeth Wood,Jennifer Davidson,3.0
Elizabeth Wood,Jordan Smith,2.0
Elizabeth Wood,Latoya Smith,1.0
Elizabeth Wood,Linda Holt,8.0
Elizabeth Wood,Olivia Nelson,1.0
Elizabeth Wood,Paula Baker,8.0
Elizabeth Wood,Rita Miller,1.0
Elizabeth Wood,Savannah Barker,1.0
Elizabeth Wood,Todd Lyons,2.0
Eric Martin,Jennifer Baker,1.0
Eric Martin,Mark Barnes,1.0
Eric Martin,Michael Hawkins,1.0
Eric Martin,Thomas Torres,3.0
Eric Martin,Vincent Tran,1.0
Eric Wiley,James Gillespie,1.0
Eric Wiley,Meagan Johnson,5.0
Eric Wiley,Megan Buchanan,1.0
Eric Wiley,Timothy Brennan,1.0
Eric Wiley,Veronica Stevens,1.0
Eric Wiley,Wesley Davenport,1.0
Erica Benton,Kevin Mendoza,4.0
Erica Benton,Lindsey Fisher,1.0
Erica Benton,Michael Stevenson,1.0
Erica Benton,Robert Hines,2.0
Erica Benton,Ryan Turner,2.0
Erica Benton,Stephanie Roberts,1.0
Erica Benton,Veronica Stevens,1.0
Erica Smith,Eugene Lester,2.0
Erica Smith,Ian Rose,8.0
Erica Smith,James Padilla,3.0
Erica Smith,James Robles,1.0
Erica Smith,Jennifer Baker,3.0
Erica Smith,John Huff,1.0
Erica Smith,Jonathan Hayes,1.0
Erica Smith,Jordan Smith,4.0
Erica Smith,Kim Lee,4.0
Erica Smith,Linda Holt,8.0
Erica Smith,Mark Barnes,2.0
Erica Smith,Mary Lynch,1.0
Erica Smith,Michelle Turner,8.0
Erica Smith,Nicole Martinez,3.0
Erica Smith,Olivia Nelson,1.0
Erica Smith,Paula Baker,3.0
Erica Smith,Rachael Abbott,3.0
Erica Smith,Richard Atkinson,1.0
Erica Smith,Rita Miller,1.0
Erica Smith,Robert Lewis,3.0
Erica Smith,Samuel Anderson,1.0
Erica Smith,Savannah Barker,1.0
Erica Smith,Todd Lyons,2.0
Eugene Lester,Jennifer Davidson,3.0
Eugene Lester,Latoya Mcclain,1.0
Eugene Lester,Mark Barnes,1.0
Eugene Lester,Mary Lynch,1.0
Eugene Lester,Nancy Hughes,2.0
Eugene Lester,Seth Daniel,2.0
Eugene Lester,Sharon Nelson,2.0
Gary Lloyd,Jennifer Daniels,1.0
Gary Lloyd,Kayla Palmer,2.0
Gary Lloyd,Kevin Mendoza,1.0
Gary Lloyd,Kimberly Skinner,3.0
Gary Lloyd,Matthew Wright,2.0
Gary Lloyd,Raymond Wheeler,3.0
Gary Lloyd,Rick Jordan,1.0
Gary Lloyd,Samantha Fitzgerald,1.0
Gary Lloyd,Scott Chen,1.0
Gary Lloyd,Timothy Brennan,1.0
George Rivera,Mark Thomas,1.0
George Rivera,Meagan Johnson,1.0
George Rivera,Raymond Wheeler,4.0
George Rivera,Savannah Barker,1.0
George Rivera,Tammy Donovan,1.0
George Rivera,Timothy Brennan,4.0
Grace Baxter,Jennifer Baker,1.0
Grace Baxter,Rachael Abbott,1.0
Holly Lopez,Ian Rose,1.0
Holly Lopez,James Padilla,1.0
Holly Lopez,Jordan Smith,2.0
Holly Lopez,Karen Duncan,1.0
Holly Lopez,Mark Barnes,1.0
Holly Lopez,Ms. Sharon Sanders,1.0
Holly Lopez,Ryan Turner,1.0
Holly Lopez,Savannah Barker,1.0
Holly Lopez,William Webb,1.0
Ian Gonzalez,Matthew Wright,3.0
Ian Gonzalez,Megan Shelton,1.0
Ian Gonzalez,Paul Davis,8.0
Ian Gonzalez,Robert Love,8.0
Ian Gonzalez,Roberta Green,2.0
Ian Gonzalez,Samantha Foley,1.0
Ian Gonzalez,Timothy Brennan,1.0
Ian Gonzalez,Tracy Miller,1.0
Ian Gonzalez,Veronica Stevens,1.0
Ian Rose,James Padilla,3.0
Ian Rose,Jennifer Baker,1.0
Ian Rose,Jennifer Davidson,2.0
Ian Rose,Juan Yang,1.0
Ian Rose,Linda Holt,4.0
Ian Rose,Mark Barnes,1.0
Ian Rose,Michael Hawkins,1.0
Ian Rose,Michelle Thompson,2.0
Ian Rose,Ms. Sharon Sanders,1.0
Ian Rose,Natalie Davis,1.0
Ian Rose,Paula Baker,1.0
Ian Rose,Savannah Barker,1.0
Ian Rose,William Webb,1.0
James Gillespie,Jill Novak,1.0
James Gillespie,Kayla Krueger,1.0
James Gillespie,Matthew Wright,3.0
James Gillespie,Megan Shaw,2.0
James Gillespie,Michelle Thompson,7.0
James Gillespie,Samantha Foley,1.0
James Gillespie,Samuel Anderson,2.0
James Gillespie,Sarah Morse,2.0
James Gillespie,Scott Chen,2.0
James Gillespie,Tracy Miller,1.0
James Gillespie,Veronica Stevens,1.0
James Gillespie,Wesley Davenport,1.0
James Padilla,Jennifer Baker,1.0
James Padilla,Jordan Smith,1.0
James Padilla,Judy Ross,1.0
James Padilla,Karen Duncan,2.0
James Padilla,Kim Lee,1.0
James Padilla,Kimberly Skinner,2.0
James Padilla,Linda Holt,2.0
James Padilla,Michael Hawkins,1.0
James Padilla,Michelle Thompson,1.0
James Padilla,Natalie Davis,1.0
James Padilla,Nicole Martinez,1.0
James Padilla,Olivia Nelson,1.0
James Padilla,Paula Baker,1.0
James Padilla,Rachael Abbott,1.0
James Padilla,Savannah Barker,1.0
James Padilla,Thomas Torres,1.0
James Padilla,Todd Lyons,1.0
James Padilla,Vincent Tran,1.0
James Padilla,William Webb,1.0
James Robles,Olivia Nelson,4.0
Jennifer Baker,John Huff,1.0
Jennifer Baker,Jordan Smith,3.0
Jennifer Baker,Linda Holt,1.0
Jennifer Baker,Natalie Davis,1.0
Jennifer Baker,Nicole Martinez,2.0
Jennifer Baker,Paul Davis,1.0
Jennifer Baker,Rachael Abbott,7.0
Jennifer Baker,Savannah Barker,1.0
Jennifer Baker,Victoria Miller,1.0
Jennifer Baker,Vincent Tran,2.0
Jennifer Daniels,Jill Castro,5.0
Jennifer Daniels,Kevin Mendoza,1.0
Jennifer Daniels,Lindsey Fisher,2.0
Jennifer Daniels,Megan Shaw,2.0
Jennifer Daniels,Mrs. Amanda Dennis,1.0
Jennifer Daniels,Richard Diaz,1.0
Jennifer Daniels,Rick Jordan,1.0
Jennifer Davidson,Kim Lee,1.0
Jennifer Davidson,Nancy Hughes,3.0
Jennifer Davidson,Olivia Nelson,4.0
Jennifer Davidson,Roger Miller,3.0
Jennifer Davidson,Seth Daniel,4.0
Jerry Walters,Jordan Smith,2.0
Jerry Walters,Kimberly Skinner,1.0
Jerry Walters,Savannah Barker,1.0
Jerry Walters,William Webb,1.0
Jill Castro,Lindsey Fisher,8.0
Jill Castro,Paul Davis,8.0
Jill Castro,Robert Hines,2.0
Jill Novak,Megan Shaw,2.0
Jill Novak,Mrs. Amanda Dennis,1.0
Jill Novak,Samuel Anderson,1.0
Jill Novak,Sarah Morse,1.0
John Huff,Robert Lewis,2.0
John Huff,Sarah Morse,4.0
John Huff,Savannah Barker,5.0
John Huff,Todd Lyons,1.0
Jonathan Hayes,Joseph Armstrong,1.0
Jonathan Hayes,Karen Duncan,1.0
Jonathan Hayes,Michael Stevenson,1.0
Jordan Smith,Judy Ross,2.0
Jordan Smith,Karen Duncan,3.0
Jordan Smith,Linda Holt,2.0
Jordan Smith,Mark Barnes,2.0
Jordan Smith,Nicole Martinez,7.0
Jordan Smith,Paula Baker,1.0
Jordan Smith,Robert Lewis,2.0
Jordan Smith,Savannah Barker,1.0
Joseph Armstrong,Marie Franklin,1.0
Joseph Armstrong,Megan Buchanan,1.0
Joseph Armstrong,Michael Stevenson,2.0
Joseph Armstrong,Sarah Morse,1.0
Joseph Armstrong,Savannah Barker,1.0
Joseph Armstrong,Stacey Rodriguez,2.0
Joseph Armstrong,Tammy Donovan,1.0
Juan Yang,Michael Hawkins,1.0
Juan Yang,Ms. Sharon Sanders,4.0
Juan Yang,Savannah Barker,1.0
Judy Ross,Latoya Mcclain,1.0
Judy Ross,Lisa Taylor,1.0
Judy Ross,Mark Barnes,2.0
Judy Ross,Matthew Wright,3.0
Judy Ross,Michael Hawkins,2.0
Judy Ross,Monica Simpson,1.0
Judy Ross,Rachael Abbott,1.0
Judy Ross,Savannah Barker,1.0
Judy Ross,Victoria Miller,1.0
Karen Duncan,Kimberly Skinner,2.0
Karen Duncan,Michelle Thompson,1.0
Karen Duncan,Ms. Sharon Sanders,1.0
Karen Duncan,Olivia Nelson,1.0
Karen Duncan,Robert Lewis,3.0
Karen Duncan,Sarah Knight,2.0
Karen Duncan,Savannah Barker,2.0
Karen Duncan,Thomas Torres,4.0
Karen Duncan,Vincent Tran,8.0
Kathy Rice,Marie Franklin,3.0
Kathy Rice,Roberta Green,1.0
Kathy Rice,Samantha Fitzgerald,2.0
Kathy Rice,Tammy Donovan,3.0
Kathy Rice,Timothy Brennan,1.0
Kathy Rice,Wesley Atkins,1.0
Kayla Krueger,Kayla Palmer,2.0
Kayla Krueger,Kevin Mendoza,1.0
Kayla Krueger,Megan Buchanan,1.0
Kayla Krueger,Robert Hines,1.0
Kayla Krueger,Veronica Stevens,1.0
Kayla Krueger,Wesley Davenport,1.0
Kayla Palmer,Mark Thomas,1.0
Kayla Palmer,Meagan Johnson,2.0
Kayla Palmer,Michelle Thompson,4.0
Kayla Palmer,Raymond Wheeler,1.0
Kayla Palmer,Samantha Fitzgerald,2.0
Kayla Palmer,Scott Chen,2.0
Kayla Palmer,Stacey Rodriguez,1.0
Kevin Mendoza,Mrs. Amanda Dennis,1.0
Kevin Mendoza,Samantha Fitzgerald,1.0
Kevin Mendoza,Scott Chen,1.0
Kim Lee,Nicole Martinez,1.0
Kim Lee,Richard Atkinson,3.0
Kim Lee,Savannah Barker,1.0
Kimberly Skinner,Mark Barnes,2.0
Kimberly Skinner,Natalie Davis,1.0
Kimberly Skinner,Ryan Turner,3.0
Kimberly Skinner,Savannah Barker,2.0
Kimberly Skinner,Thomas Torres,3.0
Kimberly Skinner,William Webb,1.0
Kristie Woods,Mark Thomas,1.0
Kristie Woods,Scott Chen,1.0
Kristie Woods,Stephanie Roberts,1.0
Kristie Woods,Tammy Donovan,1.0
Latoya Mcclain,Latoya Smith,1.0
Latoya Mcclain,Mark Barnes,1.0
Latoya Mcclain,Michael Hawkins,4.0
Latoya Smith,Ms. Sharon Sanders,4.0
Latoya Smith,Savannah Barker,1.0
Linda Holt,Michael Hawkins,1.0
Linda Holt,Ms. Sharon Sanders,1.0
Linda Holt,Nicole Martinez,3.0
Linda Holt,Paula Baker,3.0
Linda Holt,Rachael Abbott,2.0
Linda Holt,Vincent Tran,1.0
Linda Holt,William Webb,1.0
Lindsey Fisher,Maria Ochoa,4.0
Lindsey Fisher,Michael Stevenson,1.0
Lindsey Fisher,Robert Hines,1.0
Lindsey Fisher,Veronica Stevens,1.0
Lisa Taylor,Mark Thomas,4.0
Lisa Taylor,Mary Lynch,1.0
Lisa Taylor,Monica Simpson,4.0
Lisa Taylor,Nicole Martinez,1.0
Lisa Taylor,Paula Baker,1.0
Lisa Taylor,Thomas Torres,1.0
Maria Ochoa,Meagan Johnson,1.0
Maria Ochoa,Paul Davis,1.0
Maria Ochoa,Rick Jordan,1.0
Maria Ochoa,Timothy Brennan,2.0
Maria Ochoa,Wesley Davenport,1.0
Marie Franklin,Mark Thomas,1.0
Marie Franklin,Megan Buchanan,1.0
Marie Franklin,Sarah Morse,1.0
Marie Franklin,Stephanie Roberts,1.0
Marie Franklin,Tammy Donovan,4.0
Mark Barnes,Mary Lynch,2.0
Mark Barnes,Ryan Turner,2.0
Mark Barnes,Thomas Torres,2.0
Mark Barnes,Zachary Carter,2.0
Mark Thomas,Meagan Johnson,2.0
Mark Thomas,Megan Shaw,2.0
Mark Thomas,Monica Simpson,2.0
Mark Thomas,Samuel Anderson,1.0
Mark Thomas,Stacey Rodriguez,2.0
Mark Thomas,Tammy Donovan,1.0
Mary Lynch,Michelle Turner,7.0
Mary Lynch,Monica Simpson,1.0
Mary Lynch,Nicole Martinez,1.0
Mary Lynch,Savannah Barker,1.0
Mary Lynch,Wesley Atkins,2.0
Matthew Wright,Megan Shelton,1.0
Matthew Wright,Samuel Anderson,3.0
Matthew Wright,Sarah Morse,1.0
Meagan Johnson,Megan Shaw,1.0
Meagan Johnson,Michael Stevenson,1.0
Meagan Johnson,Paul Davis,2.0
Meagan Johnson,Rick Jordan,2.0
Meagan Johnson,Stacey Rodriguez,1.0
Meagan Johnson,Wesley Atkins,1.0
Meagan Johnson,Wesley Davenport,2.0
Megan Buchanan,Michelle Turner,1.0
Megan Buchanan,Robert Love,2.0
Megan Buchanan,Sarah Morse,1.0
Megan Shaw,Michael Thompson,1.0
Megan Shaw,Michelle Turner,1.0
Megan Shaw,Mrs. Amanda Dennis,1.0
Megan Shaw,Richard Diaz,1.0
Megan Shaw,Stacey Rodriguez,1.0
Megan Shaw,Wesley Atkins,1.0
Megan Shelton,Robert Hines,1.0
Megan Shelton,Ryan Turner,1.0
Megan Shelton,Samantha Foley,2.0
Megan Shelton,Savannah Barker,1.0
Michael Hawkins,Michelle Thompson,1.0
Michael Hawkins,Ms. Sharon Sanders,1.0
Michael Hawkins,Natalie Davis,1.0
Michael Hawkins,Vincent Tran,1.0
Michael Stevenson,Paul Davis,2.0
Michael Stevenson,Robert Hines,2.0
Michael Stevenson,Samuel Anderson,2.0
Michael Stevenson,Veronica Stevens,1.0
Michael Thompson,Mrs. Amanda Dennis,4.0
Michael Thompson,Samuel Anderson,4.0
Michael Thompson,Veronica Stevens,4.0
Michelle Thompson,Paula Baker,6.0
Michelle Thompson,Sarah Knight,7.0
Michelle Thompson,Savannah Barker,1.0
Michelle Thompson,Stacey Rodriguez,7.0
Michelle Thompson,Vincent Tran,1.0
Michelle Turner,Richard Diaz,1.0
Michelle Turner,Ryan Turner,2.0
Michelle Turner,Samuel Anderson,8.0
Michelle Turner,Tammy Donovan,1.0
Michelle Turner,Wesley Atkins,2.0
Monica Simpson,Nicole Martinez,1.0
Monica Simpson,Rachael Abbott,1.0
Monica Simpson,Savannah Barker,1.0
Mrs. Amanda Dennis,Rick Jordan,1.0
Mrs. Amanda Dennis,Samuel Anderson,4.0
Mrs. Amanda Dennis,Sarah Morse,1.0
Mrs. Amanda Dennis,Veronica Stevens,3.0
Ms. Sharon Sanders,Natalie Davis,1.0
Ms. Sharon Sanders,Roger Miller,2.0
Ms. Sharon Sanders,Seth Daniel,2.0
Ms. Sharon Sanders,Vincent Tran,2.0
Nancy Hughes,Nicole Martinez,2.0
Nancy Hughes,Roger Miller,2.0
Nancy Hughes,Savannah Barker,6.0
Natalie Davis,Sarah Knight,4.0
Natalie Davis,Victoria Miller,1.0
Natalie Davis,William Webb,4.0
Nicole Martinez,Rachael Abbott,1.0
Nicole Martinez,Savannah Barker,2.0
Nicole Martinez,Sharon Nelson,1.0
Nicole Martinez,Zachary Wagner,1.0
Olivia Nelson,Richard Atkinson,4.0
Olivia Nelson,Savannah Barker,1.0
Paul Davis,Rick Jordan,1.0
Paul Davis,Samantha Foley,1.0
Paul Davis,Samuel Anderson,2.0
Paul Davis,Wesley Davenport,2.0
Paula Baker,Rachael Abbott,2.0
Paula Baker,Savannah Barker,1.0
Rachael Abbott,Roger Miller,2.0
Rachael Abbott,Savannah Barker,1.0
Rachael Abbott,Sharon Nelson,1.0
Rachael Abbott,Victoria Miller,2.0
Raymond Wheeler,Rebecca Harris,3.0
Raymond Wheeler,Richard Diaz,1.0
Raymond Wheeler,Robert Hines,1.0
Raymond Wheeler,Stacey Rodriguez,1.0
Raymond Wheeler,Tracy Miller,4.0
Rebecca Harris,Timothy Brennan,4.0
Richard Atkinson,Rita Miller,2.0
Richard Atkinson,Seth Daniel,4.0
Richard Diaz,Robert Hines,1.0
Richard Diaz,Scott Chen,1.0
Richard Diaz,Timothy Brennan,4.0
Richard Diaz,Wesley Davenport,2.0
